Kategorie: Alle Kategorien

Monat,wizard: (Weltweit),witch: (Weltweit)
2004-01,59,37
2004-02,62,41
2004-03,53,40
2004-04,54,35
2004-05,55,31
2004-06,53,31
2004-07,56,29
2004-08,55,35
2004-09,53,42
2004-10,57,58
2004-11,55,37
2004-12,53,33
2005-01,55,35
2005-02,51,32
2005-03,50,33
2005-04,47,34
2005-05,51,35
2005-06,46,34
2005-07,50,34
2005-08,47,33
2005-09,47,47
2005-10,53,64
2005-11,52,53
2005-12,53,56
2006-01,47,44
2006-02,45,37
2006-03,43,35
2006-04,42,38
2006-05,43,38
2006-06,42,31
2006-07,42,31
2006-08,44,31
2006-09,42,37
2006-10,45,52
2006-11,43,38
2006-12,44,35
2007-01,41,32
2007-02,38,33
2007-03,41,32
2007-04,39,30
2007-05,38,29
2007-06,40,30
2007-07,40,29
2007-08,40,30
2007-09,39,33
2007-10,42,49
2007-11,42,31
2007-12,41,30
2008-01,38,30
2008-02,37,27
2008-03,38,26
2008-04,36,25
2008-05,35,26
2008-06,35,26
2008-07,37,25
2008-08,38,25
2008-09,38,30
2008-10,42,40
2008-11,39,27
2008-12,38,26
2009-01,36,25
2009-02,38,26
2009-03,37,34
2009-04,37,28
2009-05,39,24
2009-06,42,23
2009-07,43,27
2009-08,44,29
2009-09,41,28
2009-10,41,44
2009-11,40,27
2009-12,42,24
2010-01,40,24
2010-02,40,23
2010-03,37,22
2010-04,35,22
2010-05,37,22
2010-06,33,20
2010-07,36,22
2010-08,39,23
2010-09,31,27
2010-10,35,41
2010-11,37,27
2010-12,37,27
2011-01,37,36
2011-02,35,26
2011-03,33,32
2011-04,35,26
2011-05,32,25
2011-06,33,24
2011-07,35,26
2011-08,36,26
2011-09,32,27
2011-10,35,40
2011-11,34,27
2011-12,35,26
2012-01,37,26
2012-02,32,26
2012-03,32,26
2012-04,30,26
2012-05,38,33
2012-06,39,29
2012-07,35,27
2012-08,35,28
2012-09,32,31
2012-10,35,41
2012-11,33,27
2012-12,34,25
2013-01,33,32
2013-02,34,36
2013-03,41,39
2013-04,31,32
2013-05,32,29
2013-06,31,28
2013-07,32,29
2013-08,32,28
2013-09,34,31
2013-10,35,52
2013-11,31,32
2013-12,32,28
2014-01,32,33
2014-02,32,28
2014-03,36,32
2014-04,34,33
2014-05,32,29
2014-06,31,30
2014-07,30,38
2014-08,31,37
2014-09,32,35
2014-10,33,49
2014-11,29,33
2014-12,29,31
2015-01,30,35
2015-02,29,32
2015-03,29,33
2015-04,29,34
2015-05,27,36
2015-06,27,29
2015-07,26,32
2015-08,28,33
2015-09,27,37
2015-10,30,64
2015-11,28,45
2015-12,31,34
2016-01,28,41
2016-02,29,54
2016-03,27,45
2016-04,27,40
2016-05,28,50
2016-06,27,42
2016-07,25,38
2016-08,25,35
2016-09,25,58
2016-10,27,58
2016-11,26,35
2016-12,28,33
2017-01,28,37
2017-02,27,34
2017-03,28,33
2017-04,27,35
2017-05,29,33
2017-06,27,31
2017-07,27,36
2017-08,28,34
2017-09,27,34
2017-10,29,50
2017-11,28,33
2017-12,27,29
2018-01,26,31
2018-02,24,29
2018-03,24,32
2018-04,25,35
2018-05,27,35
2018-06,26,33
2018-07,23,32
2018-08,23,35
2018-09,23,38
2018-10,25,61
2018-11,26,41
2018-12,24,33
2019-01,24,30
2019-02,23,31
2019-03,22,30
2019-04,22,34
2019-05,22,34
2019-06,24,32
2019-07,24,34
2019-08,100,36
2019-09,82,39
2019-10,39,53
2019-11,33,32
2019-12,30,32
2020-01,39,33
2020-02,32,32
2020-03,31,35
2020-04,34,41
2020-05,40,39
2020-06,29,37
2020-07,25,35
2020-08,27,35
2020-09,25,39
2020-10,30,57
2020-11,27,36
2020-12,25,33
2021-01,22,38
2021-02,20,41
2021-03,20,37
