Entity,Code,Year,Cropland (HYDE (2017))
Africa,,-10000,0
Africa,,-9000,0
Africa,,-8000,0
Africa,,-7000,7711.773
Africa,,-6000,164918.4
Africa,,-5000,839165.19
Africa,,-4000,4396548.49
Africa,,-3000,6526042.73
Africa,,-2000,6605706.6
Africa,,-1000,8585603.8
Africa,,0,11746738.4
Africa,,100,12469700.6
Africa,,200,13286179.3
Africa,,300,13610254.9
Africa,,400,14120194.9
Africa,,500,14855204.4
Africa,,600,15891169.8
Africa,,700,17737918.9
Africa,,800,20184093
Africa,,900,22340921
Africa,,1000,24504007
Africa,,1100,25619321
Africa,,1200,27039863
Africa,,1300,29795152
Africa,,1400,31892684
Africa,,1500,33877583.61
Africa,,1600,39650249.2
Africa,,1700,43621693.5
Africa,,1710,43513624.4
Africa,,1720,43851430.9
Africa,,1730,44213570.9
Africa,,1740,44601616.9
Africa,,1750,45017079
Africa,,1760,45461896.3
Africa,,1770,45938444.1
Africa,,1780,46450313.7
Africa,,1790,47001082.6
Africa,,1800,47595227.6
Africa,,1810,49057036.5
Africa,,1820,49907460.4
Africa,,1830,51860681.4
Africa,,1840,53938422.8
Africa,,1850,56201319.6
Africa,,1860,58517906.2
Africa,,1870,61220747.5
Africa,,1880,64768461
Africa,,1890,68308209
Africa,,1900,72672992
Africa,,1910,77732762
Africa,,1920,83493312
Africa,,1930,91308942
Africa,,1940,104055453
Africa,,1950,131676760
Africa,,1960,168869400
Africa,,1970,184069910
Africa,,1980,193629540
Africa,,1990,207217500
Africa,,2000,223549680
Africa,,2001,225574920
Africa,,2002,229082960
Africa,,2003,235530300
Africa,,2004,238157590
Africa,,2005,243916090
Africa,,2006,247221640
Africa,,2007,249615150
Africa,,2008,251366600
Africa,,2009,253137070
Africa,,2010,258603450
Africa,,2011,264645210
Africa,,2012,273621250
Africa,,2013,277080800
Africa,,2014,284290080
Africa,,2015,290790517
Africa,,2016,296972060
Brazil,BRA,-10000,0
Brazil,BRA,-9000,0
Brazil,BRA,-8000,0
Brazil,BRA,-7000,0
Brazil,BRA,-6000,0
Brazil,BRA,-5000,0
Brazil,BRA,-4000,8300.002
Brazil,BRA,-3000,17200.08
Brazil,BRA,-2000,33700.01
Brazil,BRA,-1000,67800.18
Brazil,BRA,0,135200.6
Brazil,BRA,100,144700.1
Brazil,BRA,200,154399.8
Brazil,BRA,300,165100.2
Brazil,BRA,400,176600.1
Brazil,BRA,500,188799.7
Brazil,BRA,600,201800.1
Brazil,BRA,700,215501
Brazil,BRA,800,230301.5
Brazil,BRA,900,234302.2
Brazil,BRA,1000,238401.9
Brazil,BRA,1100,264001.8
Brazil,BRA,1200,289801.8
Brazil,BRA,1300,315602.3
Brazil,BRA,1400,341303.4
Brazil,BRA,1500,393903.5
Brazil,BRA,1600,104211.8
Brazil,BRA,1700,136523.2
Brazil,BRA,1710,148625.8
Brazil,BRA,1720,161027.6
Brazil,BRA,1730,175230.3
Brazil,BRA,1740,190632.4
Brazil,BRA,1750,207634.6
Brazil,BRA,1760,226837
Brazil,BRA,1770,247740.7
Brazil,BRA,1780,271543.7
Brazil,BRA,1790,298147.3
Brazil,BRA,1800,328352.4
Brazil,BRA,1810,406654
Brazil,BRA,1820,499257.5
Brazil,BRA,1830,634061.1
Brazil,BRA,1840,769466.4
Brazil,BRA,1850,906372.6
Brazil,BRA,1860,1044279
Brazil,BRA,1870,1183586
Brazil,BRA,1880,1316899
Brazil,BRA,1890,1635807
Brazil,BRA,1900,1981818
Brazil,BRA,1910,2498129
Brazil,BRA,1920,6668145
Brazil,BRA,1930,12488950
Brazil,BRA,1940,18261130
Brazil,BRA,1950,19408210
Brazil,BRA,1960,28396170
Brazil,BRA,1970,41259300
Brazil,BRA,1980,52864040
Brazil,BRA,1990,57408610
Brazil,BRA,2000,65200720
Brazil,BRA,2001,66465700
Brazil,BRA,2002,68868200
Brazil,BRA,2003,71969340
Brazil,BRA,2004,75632110
Brazil,BRA,2005,76432510
Brazil,BRA,2006,76784310
Brazil,BRA,2007,75637960
Brazil,BRA,2008,77500460
Brazil,BRA,2009,77540080
Brazil,BRA,2010,77463440
Brazil,BRA,2011,79373460
Brazil,BRA,2012,79605250
Brazil,BRA,2013,80109860
Brazil,BRA,2014,81002370
Brazil,BRA,2015,81855260
Brazil,BRA,2016,82297200
Canada,CAN,-10000,0
Canada,CAN,-9000,0
Canada,CAN,-8000,0
Canada,CAN,-7000,0
Canada,CAN,-6000,0
Canada,CAN,-5000,0
Canada,CAN,-4000,0
Canada,CAN,-3000,0
Canada,CAN,-2000,0
Canada,CAN,-1000,0
Canada,CAN,0,0
Canada,CAN,100,0
Canada,CAN,200,0
Canada,CAN,300,0
Canada,CAN,400,0
Canada,CAN,500,0
Canada,CAN,600,0
Canada,CAN,700,0
Canada,CAN,800,0
Canada,CAN,900,0
Canada,CAN,1000,0
Canada,CAN,1100,0
Canada,CAN,1200,0
Canada,CAN,1300,0
Canada,CAN,1400,0
Canada,CAN,1500,999.9996
Canada,CAN,1600,999.9993
Canada,CAN,1700,22503.2
Canada,CAN,1710,29551.96
Canada,CAN,1720,39420.53
Canada,CAN,1730,51666.65
Canada,CAN,1740,69021.09
Canada,CAN,1750,91443.15
Canada,CAN,1760,122193.3
Canada,CAN,1770,163927.7
Canada,CAN,1780,220271.4
Canada,CAN,1790,297921.1
Canada,CAN,1800,434376
Canada,CAN,1810,593860.8
Canada,CAN,1820,815682.2
Canada,CAN,1830,1125665
Canada,CAN,1840,1563047
Canada,CAN,1850,2177984
Canada,CAN,1860,3540646
Canada,CAN,1870,4908126
Canada,CAN,1880,6088163
Canada,CAN,1890,7635577
Canada,CAN,1900,8389981
Canada,CAN,1910,14486810
Canada,CAN,1920,20241880
Canada,CAN,1930,23599910
Canada,CAN,1940,33177430
Canada,CAN,1950,42754930
Canada,CAN,1960,52332120
Canada,CAN,1970,52605140
Canada,CAN,1980,50295330
Canada,CAN,1990,51753980
Canada,CAN,2000,52165290
Canada,CAN,2001,52109620
Canada,CAN,2002,52116440
Canada,CAN,2003,52123640
Canada,CAN,2004,52130540
Canada,CAN,2005,52137700
Canada,CAN,2006,52144590
Canada,CAN,2007,52148770
Canada,CAN,2008,52148560
Canada,CAN,2009,52148520
