Player,Club,Country,2001,2002,2006,2008,2009,2011,2013,2014,2015,2016,2017,2018,2019,2020
Christian Vieri (Inter),Inter,Italy,49,49,49,49,49,49,49,49,49,49,49,49,49,49
Gaizka Mendieta (Lazio),Lazio,Italy,48,48,48,48,48,48,48,48,48,48,48,48,48,48
Gianluigi Buffon (Juventus),Juventus,Italy,52,52,52,52,52,52,52,52,52,52,52,52,52,52
Hernan Crespo (Lazio),Lazio,Italy,55,55,55,55,55,55,55,55,55,55,55,55,55,55
Juan Sebastian Veron (Manchester United),Manchester United,England,46,46,46,46,46,46,46,46,46,46,46,46,46,46
Luis Figo (Real Madrid),Real Madrid,Spain,60,60,60,60,60,60,60,60,60,60,60,60,60,60
Zinedine Zidane (Real Madrid),Real Madrid,Spain,77,77,77,77,77,77,77,77,77,77,77,77,77,77
Rio Ferdinand (Manchester United),Manchester United,England,NA,46,46,46,46,46,46,46,46,46,46,46,46,46
Ronaldo (Real Madrid),Real Madrid,Spain,NA,46,46,46,46,46,46,46,46,46,46,46,46,46
Andriy Schevchenko (Chelsea),Chelsea,England,NA,NA,43,43,43,43,43,43,43,43,43,43,43,43
Robinho (Manchester City),Manchester City,England,NA,NA,NA,43,43,43,43,43,43,43,43,43,43,43
Cristiano Ronaldo (Real Madrid),Real Madrid,Spain,NA,NA,NA,NA,94,94,94,94,94,94,94,94,94,94
Kaka (Real Madrid),Real Madrid,Spain,NA,NA,NA,NA,65,65,65,65,65,65,65,65,65,65
Zlatan Ibrahimovic (Barcelona),Barcelona,Spain,NA,NA,NA,NA,69,69,69,69,69,69,69,69,69,69
Fernando Torres (Chelsea),Chelsea,England,NA,NA,NA,NA,NA,59,59,59,59,59,59,59,59,59
Edinson Cavani (PSG),PSG,France,NA,NA,NA,NA,NA,NA,64,64,64,64,64,64,64,64
Gareth Bale (Real Madrid),Real Madrid,Spain,NA,NA,NA,NA,NA,NA,100,100,100,100,100,100,100,100
James Rodriguez (Monaco),Monaco,France,NA,NA,NA,NA,NA,NA,45,45,45,45,45,45,45,45
Mesut Ozil (Arsenal),Arsenal,England,NA,NA,NA,NA,NA,NA,47,47,47,47,47,47,47,47
Neymar (Barcelona),Barcelona,Spain,NA,NA,NA,NA,NA,NA,86,86,86,86,86,86,86,86
Radamel Falcao (Monaco),Monaco,France,NA,NA,NA,NA,NA,NA,43,43,43,43,43,43,43,43
Angel Di Maria (Manchester United),Manchester United,England,NA,NA,NA,NA,NA,NA,NA,74,74,74,74,74,74,74
David Luiz (PSG),PSG,France,NA,NA,NA,NA,NA,NA,NA,62,62,62,62,62,62,62
Eliaquim Mangala (Manchester City),Manchester City,England,NA,NA,NA,NA,NA,NA,NA,51,51,51,51,51,51,51
James Rodriguez (Real Madrid),Real Madrid,Spain,NA,NA,NA,NA,NA,NA,NA,80,80,80,80,80,80,80
Juan Mata (Manchester United),Manchester United,England,NA,NA,NA,NA,NA,NA,NA,46,46,46,46,46,46,46
Luis Suarez (Barcelona),Barcelona,Spain,NA,NA,NA,NA,NA,NA,NA,82,82,82,82,82,82,82
Angel Di Maria (PSG),PSG,France,NA,NA,NA,NA,NA,NA,NA,NA,61,61,61,61,61,61
Anthony Martial (Manchester United),Manchester United,England,NA,NA,NA,NA,NA,NA,NA,NA,49,49,49,49,49,49
Christian Benteke (Liverpool),Liverpool,England,NA,NA,NA,NA,NA,NA,NA,NA,45,45,45,45,45,45
Kevin De Bruyne (Manchester City),Manchester City,England,NA,NA,NA,NA,NA,NA,NA,NA,75,75,75,75,75,75
Raheem Sterling (Manchester City),Manchester City,England,NA,NA,NA,NA,NA,NA,NA,NA,69,69,69,69,69,69
Alex Teixeira (Jiangsu Suning),Jiangsu Suning,China,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,50,50,50,50
Gonzalo Higuain (Juventus),Juventus,Italy,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,90,90,90,90
Granit Xhaka (Arsenal),Arsenal,England,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,45,45,45,45
Hulk (Shanghai SIPG),Shanghai SIPG,China,NA,NA,NA,NA,NA,NA,NA,NA,NA,58,58,58,58,58
Joao Mario (Inter),Inter,Italy,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,45,45,45,45
John Stones (Manchester City),Manchester City,England,NA,NA,NA,NA,NA,NA,NA,NA,NA,58,58,58,58,58
Leroy Sane (Manchester City),Manchester City,England,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,44,44,44,44
Paul Pogba (Manchester United),Manchester United,England,NA,NA,NA,NA,NA,NA,NA,NA,NA,105,105,105,105,105
Alexandre Lacazette (Arsenal),Arsenal,England,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53,53,53,53
Alvaro Morata (Chelsea),Chelsea,England,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78,78,78,78
Benjamin Mendy (Manchester City),Manchester City,England,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58,58,58,58
Bernardo Silva (Manchester City),Manchester City,England,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,50,50,50
Douglas Costa (Juventus),Juventus,Italy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46,46,46,46
Gylfi Sigurdsson (Everton),Everton,England,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49,49,49,49
Kyle Walker (Manchester City),Manchester City,England,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56,56,56,56
Kylian Mbappe (PSG),PSG,France,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,145,145,145,145
Nemanja Matic (Manchester United),Manchester United,England,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,44,44,44
Neymar (PSG),PSG,France,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,222,222,222,222
Oscar (Shanghai SIPG),Shanghai SIPG,China,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,60,60,60
Ousmane Dembele (Barcelona),Barcelona,Spain,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,105,105,105,105
Romelu Lukaku (Manchester United),Manchester United,England,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84,84,84,84
Tiemoue Bakayoko (Chelsea),Chelsea,England,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,45,45,45
